iter	Passed	Remaining
0	140	140721
1	143	71731
2	146	48816
3	149	37240
4	152	30392
5	155	25780
6	158	22486
7	161	20017
8	164	18097
9	167	16573
10	170	15313
11	173	14252
12	176	13369
13	178	12591
14	182	11968
15	185	11394
16	187	10865
17	190	10402
18	193	9977
19	196	9614
20	198	9271
21	201	8967
22	204	8684
23	207	8424
24	210	8193
25	212	7978
26	215	7782
27	219	7610
28	221	7420
29	224	7264
30	227	7107
31	230	6960
32	232	6824
33	235	6691
34	238	6565
35	241	6459
36	243	6349
37	246	6240
38	249	6137
39	251	6043
40	255	5968
41	257	5877
42	260	5797
43	263	5716
44	265	5643
45	269	5580
46	271	5507
47	274	5441
48	276	5374
49	279	5316
50	282	5264
51	285	5202
52	288	5148
53	291	5098
54	293	5045
55	296	5000
56	299	4948
57	301	4896
58	303	4839
59	305	4782
60	307	4729
61	309	4676
62	310	4620
63	312	4565
64	313	4510
65	314	4457
66	316	4405
67	317	4346
68	318	4298
69	320	4252
70	321	4206
71	322	4162
72	324	4122
73	326	4084
74	328	4046
75	329	4008
76	331	3971
77	332	3932
78	334	3894
79	335	3855
80	336	3816
81	337	3778
82	339	3745
83	340	3710
84	341	3671
85	342	3637
86	342	3599
87	343	3565
88	345	3531
89	346	3499
90	347	3466
91	348	3435
92	349	3404
93	350	3374
94	351	3345
95	352	3317
96	353	3289
97	354	3261
98	355	3235
99	356	3209
100	357	3184
101	358	3154
102	359	3128
103	360	3104
104	361	3080
105	362	3056
106	363	3032
107	364	3009
108	365	2988
109	366	2964
110	367	2941
111	368	2918
112	368	2895
113	369	2874
114	370	2852
115	371	2829
116	372	2808
117	372	2787
118	373	2766
119	374	2746
120	375	2726
121	376	2707
122	376	2684
123	377	2666
124	378	2647
125	378	2628
126	379	2611
127	380	2591
128	381	2574
129	382	2557
130	383	2540
131	383	2524
132	384	2508
133	385	2492
134	386	2475
135	387	2460
136	388	2444
137	388	2428
138	389	2413
139	390	2398
140	391	2383
141	392	2368
142	392	2354
143	393	2341
144	394	2327
145	395	2313
146	396	2300
147	397	2286
148	398	2273
149	398	2260
150	399	2247
151	400	2234
152	401	2222
153	402	2209
154	403	2197
155	403	2185
156	404	2172
157	405	2161
158	406	2149
159	407	2137
160	408	2127
161	409	2116
162	409	2104
163	410	2094
164	411	2083
165	412	2072
166	413	2061
167	414	2051
168	415	2040
169	415	2030
170	416	2020
171	417	2010
172	418	2000
173	419	1990
174	420	1980
175	420	1971
176	422	1962
177	422	1952
178	423	1943
179	424	1934
180	424	1922
181	425	1913
182	426	1904
